feature,importance
late_game_score_impact,896
score_diff_urgency,726
total_goals,596
score_change_5min,518
seconds_elapsed,502
score_ratio,447
time_remaining,421
recent_goals,417
score_diff_time_interaction,292
early_game_dampening,275
away_pp_urgency,274
score_diff,173
minutes_elapsed,97
last_event_FACEOFF,59
last_event_SHOT,45
early_game_score_penalty,42
score_diff_abs,31
last_event_PENALTY,29
score_diff_after_goal,26
time_normalized,24
away_pp_late_game,22
last_event_GOAL,13
away_pp_score_boost,9
recent_penalty,7
home_leading,7
away_leading,6
recent_shot,5
score_momentum,4
goal_impact,3
goal_just_scored,2
period,1
recent_goal,1
home_pp_with_lead,0
away_pp_with_lead,0
tied,0
is_regulation,0
is_overtime,0
is_shootout,0
strength_EV,0
last_event_GAME_END,0
strength_PK,0
home_pp,0
away_pp,0
home_pk,0
home_pp_urgency,0
home_pp_advantage,0
home_pp_score_boost,0
away_pp_advantage,0
home_pp_late_game,0
away_pk,0
