feature,importance
seconds_elapsed,1453
time_remaining,989
total_goals,649
score_diff,602
score_change_5min,570
score_ratio,440
recent_goals,425
minutes_elapsed,212
score_diff_abs,142
last_event_FACEOFF,98
last_event_SHOT,91
time_normalized,62
last_event_PENALTY,47
last_event_GOAL,36
recent_shot,20
away_leading,18
home_leading,15
recent_goal,13
period,10
tied,10
recent_penalty,8
is_shootout,0
strength_PK,0
home_pp,0
away_pp,0
home_pk,0
away_pk,0
is_overtime,0
is_regulation,0
last_event_GAME_END,0
strength_EV,0
