feature,importance
late_game_score_impact,969
score_diff_urgency,770
total_goals,582
seconds_elapsed,545
score_ratio,472
score_diff_time_interaction,467
score_change_5min,461
time_remaining,430
recent_goals,413
away_pp_urgency,280
score_diff,214
minutes_elapsed,111
last_event_FACEOFF,63
last_event_SHOT,42
time_normalized,28
away_pp_late_game,27
last_event_PENALTY,25
score_diff_after_goal,24
score_diff_abs,24
last_event_GOAL,14
goal_impact,7
recent_shot,6
recent_penalty,5
score_momentum,5
home_leading,5
away_pp_score_boost,4
away_leading,2
period,2
recent_goal,2
away_pp_with_lead,1
away_pk,0
last_event_GAME_END,0
goal_just_scored,0
tied,0
is_regulation,0
is_overtime,0
is_shootout,0
strength_EV,0
away_pp_advantage,0
strength_PK,0
home_pp,0
away_pp,0
home_pp_urgency,0
home_pp_score_boost,0
home_pk,0
home_pp_late_game,0
home_pp_with_lead,0
home_pp_advantage,0
